# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
150.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
151.49,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
151.99,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
152.442,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
152.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
153.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
153.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
154.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
154.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
155.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
155.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
156.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
156.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
157.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
157.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
158.342,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
158.842,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
159.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
159.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
160.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
160.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
161.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
161.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
162.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
162.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
163.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
163.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
164.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
164.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
165.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
165.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
166.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
166.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
167.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
167.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
168.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
168.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
169.286,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
169.786,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
170.209,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
170.709,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
171.209,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
171.709,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
172.209,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
172.709,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
173.209,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
173.709,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
174.209,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
174.709,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
175.209,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
175.709,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
176.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
176.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
177.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
177.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
178.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
178.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
179.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
179.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
180.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
180.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
181.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
181.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
182.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
182.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
183.158,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
183.658,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
184.081,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
184.581,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
185.079,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
185.579,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
186.079,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
186.579,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
187.079,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
187.1,3.99E+04,241.842,NaN,NaN,NaN,NaN,0
