# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
5.891,4.26E+04,3029.827,52.682,0.231,325.43,244.24,1329.016
5.941,4.26E+04,2973.904,52.635,0.231,325.396,244.116,1515
5.991,4.25E+04,2919.019,52.606,0.231,325.156,244.041,1413.225
6.041,4.25E+04,2865.154,52.57,0.23,325.31,243.947,1482.655
6.091,4.24E+04,2825.379,52.544,0.23,325.563,243.878,1496.681
6.141,4.23E+04,2697.005,52.446,0.23,325.443,243.612,1478.176
6.191,4.23E+04,2641.574,52.407,0.23,325.328,243.505,1438.721
6.241,4.22E+04,2587.371,52.363,0.23,325.388,243.378,1250.012
6.291,4.21E+04,2534.369,52.335,0.23,325.568,243.303,1289.11
6.341,4.21E+04,2482.541,52.302,0.23,325.4,243.209,1197.79
6.391,4.20E+04,2431.861,52.268,0.229,325.429,243.11,1019.514
6.441,4.20E+04,2382.303,52.228,0.229,325.65,242.991,984.548
6.491,4.19E+04,2333.844,52.204,0.229,325.573,242.925,907.275
6.541,4.19E+04,2286.457,52.181,0.229,325.6,242.86,588.654
6.591,4.19E+04,2240.12,52.159,0.229,325.696,242.798,836.08
6.641,4.18E+04,2194.81,52.131,0.229,325.942,242.715,326.318
6.691,4.18E+04,2150.503,52.116,0.229,325.74,242.679,267.038
6.741,4.17E+04,2107.178,52.091,0.229,325.755,242.6,549.629
6.791,4.17E+04,2064.812,52.071,0.228,326.172,242.546,213.604
6.841,4.16E+04,2023.385,52.053,0.228,326.041,242.493,99.447
6.891,4.16E+04,1982.876,52.04,0.228,325.93,242.464,68.652
6.941,4.16E+04,1943.264,52.027,0.228,326.067,242.434,86.01
6.991,4.15E+04,1904.53,52.015,0.228,326.486,242.407,56.637
7.041,4.15E+04,1866.653,52.004,0.228,326.172,242.38,58.682
7.091,4.14E+04,1829.615,51.992,0.228,326.35,242.353,53.226
7.141,4.14E+04,1793.399,51.981,0.228,326.705,242.327,53.044
7.191,4.14E+04,1757.983,51.97,0.228,326.839,242.302,50.307
7.241,4.13E+04,1723.353,51.959,0.228,326.568,242.277,42.392
7.291,4.13E+04,1689.489,51.949,0.227,326.829,242.252,42.565
7.341,4.13E+04,1656.376,51.938,0.227,327.048,242.228,33.542
7.391,4.12E+04,1623.996,51.928,0.227,326.934,242.205,23.401
7.441,4.12E+04,1592.334,51.918,0.227,326.974,242.182,22.891
7.491,4.12E+04,1561.373,51.909,0.227,327.142,242.16,24.695
7.541,4.11E+04,1531.097,51.899,0.227,327.149,242.138,11.734
7.591,4.11E+04,1501.493,51.89,0.227,326.954,242.116,7.77
7.641,4.11E+04,1472.543,51.881,0.227,327.098,242.095,2.048
7.691,4.11E+04,1444.236,51.872,0.227,327.43,242.074,0
7.741,4.10E+04,1416.555,51.863,0.227,327.282,242.054,0
7.791,4.10E+04,1389.488,51.855,0.227,327.238,242.034,0
7.841,4.10E+04,1363.02,51.847,0.227,327.375,242.015,0
7.891,4.10E+04,1337.138,51.839,0.227,327.487,241.996,0
7.941,4.09E+04,1311.83,51.831,0.227,327.362,241.977,0
7.991,4.09E+04,1287.082,51.823,0.226,327.423,241.959,0
8.041,4.09E+04,1262.882,51.815,0.226,327.425,241.941,0
8.091,4.09E+04,1239.219,51.808,0.226,327.518,241.924,0
8.141,4.08E+04,1216.08,51.801,0.226,327.456,241.907,0
8.191,4.08E+04,1193.453,51.794,0.226,327.235,241.89,0
8.241,4.08E+04,1171.327,51.787,0.226,327.298,241.874,0
8.291,4.08E+04,1149.692,51.78,0.226,327.502,241.858,0
8.341,4.07E+04,1128.535,51.773,0.226,327.325,241.842,0
8.391,4.07E+04,1107.848,51.767,0.226,327.098,241.826,0
8.441,4.07E+04,1087.619,51.76,0.226,327.21,241.811,0
8.491,4.07E+04,1067.838,51.754,0.226,327.428,241.797,0
8.541,4.07E+04,1048.494,51.748,0.226,327.107,241.782,0
8.591,4.06E+04,1029.58,51.742,0.226,326.864,241.768,0
8.641,4.06E+04,1011.085,51.736,0.226,326.953,241.754,0
8.691,4.06E+04,992.998,51.731,0.226,327.403,241.741,0
8.741,4.06E+04,975.313,51.725,0.226,326.879,241.728,0
8.791,4.06E+04,958.019,51.72,0.226,326.597,241.715,0
8.841,4.06E+04,941.109,51.714,0.226,326.736,241.702,0
8.891,4.05E+04,924.573,51.709,0.226,327.276,241.69,0
8.941,4.05E+04,908.403,51.704,0.225,326.707,241.678,0
8.991,4.05E+04,892.592,51.699,0.225,326.388,241.666,0
9.041,4.05E+04,877.131,51.694,0.225,326.419,241.654,0
9.091,4.05E+04,862.012,51.689,0.225,326.922,241.643,0
9.141,4.05E+04,847.228,51.685,0.225,326.517,241.632,0
9.191,4.04E+04,832.772,51.68,0.225,326.102,241.621,0
9.241,4.04E+04,818.636,51.676,0.225,326.359,241.61,0
9.291,4.04E+04,804.813,51.671,0.225,326.601,241.6,0
9.341,4.04E+04,791.296,51.667,0.225,326.692,241.589,0
9.391,4.04E+04,778.078,51.663,0.225,326.308,241.58,0
9.441,4.04E+04,765.154,51.659,0.225,326.113,241.57,0
9.491,4.04E+04,752.516,51.655,0.225,326.187,241.56,0
9.541,4.04E+04,740.157,51.651,0.225,326.373,241.551,0
9.591,4.03E+04,728.073,51.647,0.225,326.493,241.542,0
9.641,4.03E+04,716.256,51.644,0.225,325.968,241.533,0
9.691,4.03E+04,704.7,51.64,0.225,325.579,241.524,0
9.741,4.03E+04,693.401,51.636,0.225,325.7,241.515,0
9.791,4.03E+04,682.352,51.633,0.225,326.179,241.507,0
9.841,4.03E+04,671.548,51.629,0.225,325.977,241.499,0
9.891,4.03E+04,660.983,51.626,0.225,325.382,241.491,0
9.941,4.03E+04,650.652,51.623,0.225,325.146,241.483,0
9.991,4.03E+04,640.551,51.62,0.225,325.332,241.475,0
10.041,4.02E+04,630.672,51.617,0.225,326.087,241.468,0
10.091,4.02E+04,621.013,51.613,0.225,325.257,241.46,0
