# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag coefficient (​)
0.01,5.702e4,1.741e4,56.395,0.268,NaN,250.212,0.009,114.957,0.641
0.02,5.699e4,1.738e4,56.403,0.268,NaN,250.27,0.009,344.87,0.641
0.03,5.696e4,1.735e4,56.412,0.267,NaN,250.328,0.009,574.783,0.642
0.04,5.691e4,1.731e4,56.424,0.267,NaN,250.413,0.009,2216.543,0.641
0.05,5.687e4,1.726e4,56.437,0.267,NaN,250.497,0.01,5270.148,0.633
0.06,5.684e4,1.723e4,56.445,0.267,NaN,250.551,0.012,7017.697,0.617
0.07,5.681e4,1.72e4,56.453,0.267,NaN,250.605,0.014,7459.19,0.598
0.08,5.678e4,1.717e4,56.462,0.267,NaN,250.659,0.017,7900.683,0.58
0.09,5.673e4,1.712e4,56.48,0.267,NaN,250.76,0.021,8061.78,0.564
0.1,5.669e4,1.708e4,56.498,0.267,NaN,250.86,0.024,7942.48,0.552
0.11,5.666e4,1.705e4,56.517,0.267,NaN,250.952,0.028,7842.183,0.541
0.12,5.663e4,1.702e4,56.536,0.267,NaN,251.044,0.031,7760.89,0.531
0.13,5.659e4,1.699e4,56.555,0.267,NaN,251.135,0.035,7679.597,0.523
0.14,5.655e4,1.694e4,56.567,0.266,NaN,251.206,0.038,7618.525,0.516
0.15,5.65e4,1.69e4,56.578,0.266,NaN,251.277,0.042,7577.675,0.51
0.16,5.647e4,1.687e4,56.586,0.266,NaN,251.323,0.045,7506.915,0.505
0.17,5.644e4,1.684e4,56.594,0.266,NaN,251.369,0.049,7406.245,0.5
0.18,5.642e4,1.681e4,56.602,0.266,NaN,251.414,0.052,7305.575,0.495
0.19,5.637e4,1.676e4,56.613,0.266,NaN,251.481,0.056,7238.27,0.491
0.2,5.633e4,1.672e4,56.624,0.266,NaN,251.547,0.059,7204.33,0.487
0.21,5.63e4,1.669e4,56.632,0.266,NaN,251.59,0.063,7170.967,0.484
0.22,5.627e4,1.666e4,56.64,0.266,NaN,251.633,0.066,7138.18,0.481
0.23,5.624e4,1.663e4,56.647,0.266,NaN,251.676,0.069,7105.393,0.478
0.24,5.619e4,1.658e4,56.653,0.266,NaN,251.721,0.073,7051.807,0.475
0.25,5.615e4,1.654e4,56.659,0.265,NaN,251.765,0.076,6977.422,0.472
0.26,5.612e4,1.651e4,56.663,0.265,NaN,251.794,0.079,6910.355,0.47
0.27,5.609e4,1.648e4,56.666,0.265,NaN,251.822,0.083,6850.605,0.467
0.28,5.606e4,1.645e4,56.67,0.265,NaN,251.851,0.086,6790.855,0.465
0.29,5.602e4,1.641e4,56.676,0.265,NaN,251.893,0.089,6767.077,0.463
0.3,5.597e4,1.637e4,56.682,0.265,NaN,251.935,0.092,6779.273,0.461
0.31,5.595e4,1.634e4,56.682,0.265,NaN,251.951,0.096,6732.02,0.459
0.32,5.592e4,1.631e4,56.682,0.265,NaN,251.966,0.099,6625.32,0.458
0.33,5.589e4,1.628e4,56.682,0.265,NaN,251.981,0.102,6518.62,0.456
0.34,5.584e4,1.624e4,56.688,0.265,NaN,252.021,0.105,6390.632,0.454
0.35,5.58e4,1.619e4,56.694,0.265,NaN,252.061,0.108,6241.357,0.453
0.36,5.577e4,1.616e4,56.697,0.264,NaN,252.087,0.111,6163.942,0.451
0.37,5.574e4,1.614e4,56.701,0.264,NaN,252.113,0.114,6158.385,0.45
0.38,5.572e4,1.611e4,56.705,0.264,NaN,252.139,0.117,6152.828,0.449
0.39,5.567e4,1.606e4,56.705,0.264,NaN,252.16,0.12,6122.005,0.448
0.4,5.563e4,1.602e4,56.705,0.264,NaN,252.181,0.123,6065.915,0.446
0.41,5.56e4,1.599e4,56.705,0.264,NaN,252.194,0.126,6033.297,0.445
0.42,5.557e4,1.597e4,56.705,0.264,NaN,252.208,0.129,6024.15,0.444
0.435,5.552e4,1.592e4,56.708,0.264,296.678,252.24,0.133,6006.679,0.443
0.458,5.544e4,1.583e4,56.716,0.264,297.482,252.303,0.139,5888.072,0.44
0.491,5.533e4,1.572e4,56.715,0.263,298.649,252.352,0.149,5846.489,0.44
0.541,5.516e4,1.556e4,56.715,0.263,300.501,252.422,0.162,5753.315,0.44
0.591,5.5e4,1.539e4,56.713,0.262,302.141,252.487,0.176,5702.258,0.441
0.641,5.484e4,1.523e4,56.722,0.262,302.934,252.579,0.19,5631.5,0.442
0.691,5.468e4,1.507e4,56.72,0.262,304.111,252.634,0.203,5573.874,0.443
0.741,5.452e4,1.491e4,56.716,0.261,304.902,252.684,0.217,5600.674,0.443
0.791,5.436e4,1.475e4,56.713,0.261,305.586,252.73,0.23,5514.761,0.444
0.841,5.421e4,1.46e4,56.702,0.26,307.387,252.755,0.243,5495.468,0.445
0.891,5.405e4,1.445e4,56.693,0.26,309.457,252.78,0.257,5516.769,0.446
0.941,5.39e4,1.429e4,56.687,0.26,311.655,252.813,0.27,5471.733,0.447
0.991,5.375e4,1.414e4,56.68,0.259,313.517,252.843,0.284,5504.797,0.448
1.041,5.36e4,1.4e4,56.663,0.259,315.81,252.839,0.297,5486.108,0.449
1.091,5.346e4,1.385e4,56.655,0.259,316.888,252.862,0.311,5518.132,0.451
1.141,5.331e4,1.37e4,56.646,0.258,314.623,252.88,0.324,5518.542,0.452
1.191,5.317e4,1.356e4,56.637,0.258,312.845,252.895,0.338,5487.891,0.453
1.241,5.303e4,1.342e4,56.627,0.257,311.85,252.906,0.351,5505.813,0.455
1.291,5.289e4,1.328e4,56.616,0.257,311.039,252.914,0.365,5496.401,0.456
1.341,5.275e4,1.314e4,56.605,0.257,310.285,252.919,0.378,5491.07,0.458
1.391,5.261e4,1.3e4,56.593,0.256,310.433,252.92,0.392,5449.309,0.459
1.441,5.248e4,1.287e4,56.58,0.256,310.452,252.918,0.405,5431.419,0.461
1.491,5.234e4,1.273e4,56.578,0.256,310.843,252.942,0.419,5420.006,0.463
1.541,5.221e4,1.26e4,56.564,0.255,311.809,252.934,0.432,5359.529,0.464
1.591,5.208e4,1.247e4,56.549,0.255,313.138,252.923,0.445,5338.582,0.466
1.641,5.195e4,1.234e4,56.545,0.255,314.961,252.938,0.459,5311.794,0.468
1.691,5.182e4,1.221e4,56.529,0.254,317.219,252.922,0.472,5258.288,0.47
1.741,5.169e4,1.208e4,56.512,0.254,317.244,252.903,0.485,5221.962,0.472
1.791,5.157e4,1.196e4,56.507,0.254,315.712,252.91,0.498,5187.725,0.474
1.841,5.144e4,1.184e4,56.489,0.253,314.946,252.886,0.511,5175.189,0.476
1.891,5.132e4,1.171e4,56.477,0.253,314.126,252.875,0.523,5122.319,0.478
1.941,5.12e4,1.159e4,56.463,0.253,313.813,252.859,0.536,5113.864,0.481
1.991,5.108e4,1.147e4,56.45,0.252,314.004,252.844,0.549,5071.376,0.483
2.041,5.096e4,1.135e4,56.435,0.252,315.068,252.823,0.561,5007.327,0.486
2.091,5.084e4,1.124e4,56.414,0.252,316.231,252.788,0.574,4981.567,0.488
2.141,5.073e4,1.112e4,56.405,0.252,318.009,252.78,0.586,4977.444,0.491
2.191,5.061e4,1.1e4,56.383,0.251,318.806,252.74,0.598,4958.339,0.493
2.241,5.05e4,1.089e4,56.368,0.251,317.623,252.716,0.611,4902.068,0.496
2.291,5.039e4,1.078e4,56.35,0.251,316.778,252.685,0.623,4868.795,0.499
2.341,5.028e4,1.067e4,56.334,0.25,316.485,252.657,0.635,4852.524,0.502
2.391,5.017e4,1.056e4,56.316,0.25,316.493,252.623,0.647,4832.527,0.505
2.441,5.006e4,1.045e4,56.304,0.25,317.157,252.604,0.659,4795.412,0.508
2.491,4.995e4,1.034e4,56.279,0.25,318.279,252.555,0.671,4783.63,0.511
2.541,4.984e4,1.024e4,56.267,0.249,320.051,252.533,0.682,4750.163,0.515
2.591,4.973e4,1.012e4,56.24,0.249,319.335,252.477,0.694,4712.677,0.518
2.641,4.963e4,1.002e4,56.227,0.249,318.569,252.452,0.706,4691.379,0.522
2.691,4.953e4,9916.705,56.2,0.248,318.253,252.397,0.717,4666.053,0.525
2.741,4.942e4,9815.275,56.183,0.248,318.594,252.362,0.729,4656.125,0.529
2.791,4.932e4,9714.975,56.159,0.248,319.106,252.313,0.74,4623.644,0.533
2.841,4.922e4,9615.781,56.141,0.248,320.125,252.275,0.752,4587.767,0.538
2.891,4.913e4,9517.675,56.117,0.247,321.353,252.223,0.763,4554.861,0.542
2.941,4.903e4,9420.65,56.102,0.247,320.056,252.192,0.774,4533.256,0.547
2.991,4.893e4,9324.698,56.074,0.247,319.636,252.13,0.785,4525.074,0.552
3.041,4.884e4,9229.802,56.059,0.247,319.862,252.096,0.796,4512.147,0.557
3.091,4.874e4,9135.959,56.029,0.246,320.587,252.032,0.807,4502.345,0.562
3.141,4.865e4,9043.155,56.014,0.246,321.751,251.997,0.818,4471.645,0.568
3.191,4.856e4,8951.388,55.984,0.246,322.457,251.931,0.828,4480.781,0.574
3.241,4.847e4,8860.651,55.963,0.246,321.547,251.885,0.839,4465.968,0.58
3.291,4.835e4,8742.774,55.925,0.245,321.309,251.801,0.85,4424.506,0.587
3.341,4.82e4,8591.932,55.878,0.245,321.672,251.695,0.86,4375.625,0.595
3.391,4.806e4,8446.622,55.826,0.245,322.487,251.578,0.87,4360.365,0.603
3.441,4.791e4,8304.011,55.768,0.244,323.374,251.45,0.881,4356.713,0.612
3.491,4.777e4,8164.049,55.725,0.244,323.465,251.351,0.891,4365.056,0.622
3.541,4.764e4,8026.687,55.666,0.244,322.958,251.22,0.902,4342.383,0.631
3.591,4.75e4,7891.876,55.622,0.243,323.004,251.12,0.912,4306.08,0.631
3.641,4.737e4,7759.57,55.563,0.243,323.578,250.986,0.922,4272.614,0.63
3.691,4.724e4,7629.722,55.519,0.243,324.66,250.884,0.932,4260.358,0.629
3.741,4.711e4,7502.285,55.458,0.242,324.414,250.749,0.942,4284.272,0.628
3.791,4.699e4,7377.215,55.409,0.242,324.366,250.637,0.952,4233.255,0.628
3.841,4.686e4,7254.469,55.353,0.242,324.326,250.51,0.962,4256.984,0.628
3.891,4.674e4,7134.003,55.292,0.241,325.13,250.373,0.972,4203.705,0.628
3.941,4.662e4,7015.774,55.248,0.241,325.702,250.269,0.982,4230.035,0.628
3.991,4.651e4,6899.742,55.186,0.241,325.382,250.131,0.992,4163.838,0.628
4.041,4.639e4,6785.865,55.142,0.24,325.274,250.028,1.001,4128.026,0.628
4.091,4.628e4,6674.103,55.081,0.24,325.417,249.89,1.01,4052.097,0.631
4.141,4.617e4,6564.417,55.037,0.24,326.078,249.787,1.02,4098.566,0.633
4.191,4.607e4,6456.768,54.976,0.24,326.443,249.649,1.029,4062.417,0.635
4.241,4.596e4,6351.12,54.927,0.239,326.171,249.537,1.038,4037.302,0.637
4.291,4.586e4,6247.434,54.871,0.239,326.113,249.41,1.047,3999.959,0.639
4.341,4.575e4,6145.673,54.811,0.239,326.365,249.272,1.056,3977.263,0.639
4.391,4.565e4,6045.803,54.768,0.239,326.785,249.172,1.065,4038.147,0.639
4.441,4.556e4,5954.882,54.712,0.238,326.923,249.045,1.074,4025.823,0.639
4.491,4.547e4,5858.556,54.652,0.238,326.584,248.909,1.083,4005.875,0.638
4.541,4.537e4,5764.02,54.61,0.238,326.756,248.81,1.092,4006.686,0.638
4.591,4.528e4,5671.239,54.55,0.238,327.257,248.675,1.101,4047.873,0.637
4.641,4.519e4,5580.181,54.509,0.237,327.148,248.578,1.11,4011.111,0.636
4.691,4.507e4,5461.414,54.429,0.237,327.073,248.397,1.119,3967.504,0.636
4.741,4.494e4,5336.074,54.343,0.237,327.13,248.202,1.128,3926.36,0.635
4.791,4.482e4,5212.363,54.275,0.236,327.467,248.044,1.136,3906.36,0.634
4.841,4.47e4,5090.25,54.188,0.236,327.226,247.847,1.145,3886.36,0.633
4.891,4.458e4,4969.707,54.101,0.236,327.051,247.649,1.153,3866.36,0.632
4.941,4.446e4,4850.704,54.033,0.236,327.123,247.489,1.162,3846.36,0.631
4.991,4.434e4,4733.213,53.946,0.235,327.43,247.289,1.17,3826.36,0.631
5.041,4.423e4,4617.204,53.858,0.235,326.937,247.088,1.178,3806.36,0.63
5.091,4.411e4,4502.652,53.782,0.235,326.743,246.909,1.187,3786.36,0.629
5.141,4.4e4,4389.529,53.702,0.234,327.004,246.725,1.195,3766.36,0.628
5.191,4.389e4,4277.807,53.615,0.234,326.892,246.521,1.203,3746.36,0.628
5.241,4.378e4,4167.462,53.547,0.234,326.514,246.36,1.211,3726.36,0.626
5.291,4.367e4,4058.468,53.46,0.234,326.472,246.155,1.219,3706.36,0.625
5.341,4.356e4,3950.799,53.384,0.233,326.76,245.974,1.227,3686.36,0.624
5.391,4.345e4,3844.431,53.306,0.233,326.253,245.788,1.234,3666.36,0.623
5.441,4.335e4,3739.339,53.22,0.233,326.111,245.582,1.242,3646.36,0.622
5.491,4.324e4,3635.501,53.145,0.232,326.316,245.4,1.25,3626.36,0.621
5.541,4.314e4,3532.893,53.068,0.232,325.998,245.213,1.257,3606.36,0.62
5.591,4.304e4,3431.491,52.984,0.232,325.601,245.005,1.265,3586.36,0.619
5.641,4.294e4,3332.786,52.902,0.232,325.701,244.8,1.272,3566.36,0.618
5.691,4.287e4,3264.309,52.862,0.232,325.4,244.701,1.279,3466.128,0.617
5.741,4.281e4,3204.03,52.812,0.231,325.225,244.572,1.281,1945.831,0.616
5.791,4.275e4,3144.871,52.762,0.231,325.486,244.445,1.281,1591.282,0.616
5.841,4.27e4,3086.81,52.723,0.231,325.418,244.344,1.281,1318.04,0.616
5.891,4.264e4,3029.827,52.682,0.231,325.43,244.24,1.281,1329.016,0.616
5.941,4.258e4,2973.904,52.635,0.231,325.499,244.116,1.281,1515,0.616
5.991,4.253e4,2919.019,52.606,0.231,325.531,244.041,1.281,1413.225,0.616
6.041,4.247e4,2865.154,52.57,0.23,325.498,243.947,1.281,1482.655,0.616
6.091,4.243e4,2825.379,52.544,0.23,325.384,243.878,1.282,1496.681,0.616
6.141,4.231e4,2697.005,52.446,0.23,325.362,243.612,1.282,1478.176,0.616
6.191,4.225e4,2641.574,52.407,0.23,325.538,243.505,1.282,1438.721,0.616
6.241,4.22e4,2587.371,52.363,0.23,325.313,243.378,1.282,1250.012,0.616
6.291,4.214e4,2534.369,52.335,0.23,325.323,243.303,1.281,1289.11,0.616
6.341,4.209e4,2482.541,52.302,0.23,325.524,243.209,1.281,1197.79,0.616
6.391,4.204e4,2431.861,52.268,0.229,325.481,243.11,1.279,1019.514,0.616
6.441,4.199e4,2382.303,52.228,0.229,325.392,242.991,1.278,984.548,0.617
6.491,4.194e4,2333.844,52.204,0.229,325.614,242.925,1.276,907.275,0.617
6.541,4.19e4,2286.457,52.181,0.229,325.798,242.86,1.273,588.654,0.617
6.591,4.185e4,2240.12,52.159,0.229,325.708,242.798,1.272,836.08,0.618
6.641,4.18e4,2194.81,52.131,0.229,325.764,242.715,1.268,326.318,0.618
6.691,4.176e4,2150.503,52.116,0.229,325.884,242.679,1.264,267.038,0.619
6.741,4.172e4,2107.178,52.091,0.229,326.078,242.6,1.261,549.629,0.619
6.791,4.167e4,2064.812,52.071,0.228,326.045,242.546,1.257,213.604,0.62
6.841,4.163e4,2023.385,52.053,0.228,326.139,242.493,1.253,99.447,0.62
6.891,4.159e4,1982.876,52.04,0.228,326.279,242.464,1.248,68.652,0.621
6.941,4.155e4,1943.264,52.027,0.228,326.485,242.434,1.244,86.01,0.622
6.991,4.151e4,1904.53,52.015,0.228,326.466,242.407,1.239,56.637,0.622
7.041,4.148e4,1866.653,52.004,0.228,326.576,242.38,1.235,58.682,0.623
7.091,4.144e4,1829.615,51.992,0.228,326.78,242.353,1.23,53.226,0.623
7.141,4.14e4,1793.399,51.981,0.228,326.855,242.327,1.226,53.044,0.624
7.191,4.137e4,1757.983,51.97,0.228,326.879,242.302,1.221,50.307,0.625
7.241,4.133e4,1723.353,51.959,0.228,326.93,242.277,1.217,42.392,0.625
7.291,4.13e4,1689.489,51.949,0.227,326.893,242.252,1.213,42.565,0.626
7.341,4.126e4,1656.376,51.938,0.227,327.102,242.228,1.208,33.542,0.627
7.391,4.123e4,1623.996,51.928,0.227,327.129,242.205,1.204,23.401,0.627
7.441,4.12e4,1592.334,51.918,0.227,327.174,242.182,1.2,22.891,0.628
7.491,4.117e4,1561.373,51.909,0.227,327.102,242.16,1.195,24.695,0.628
7.541,4.114e4,1531.097,51.899,0.227,327.202,242.138,1.191,11.734,0.629
7.591,4.111e4,1501.493,51.89,0.227,327.311,242.116,1.186,7.77,0.629
7.641,4.108e4,1472.543,51.881,0.227,327.201,242.095,1.182,2.048,0.63
7.691,4.105e4,1444.236,51.872,0.227,327.318,242.074,1.178,0,0.63
7.741,4.103e4,1416.555,51.863,0.227,327.373,242.054,1.173,0,0.63
7.791,4.1e4,1389.488,51.855,0.227,327.297,242.034,1.169,0,0.631
7.841,4.097e4,1363.02,51.847,0.227,327.142,242.015,1.165,0,0.631
7.891,4.095e4,1337.138,51.839,0.227,327.424,241.996,1.16,0,0.632
7.941,4.092e4,1311.83,51.831,0.227,327.312,241.977,1.156,0,0.632
7.991,4.09e4,1287.082,51.823,0.226,327.064,241.959,1.152,0,0.632
8.041,4.087e4,1262.882,51.815,0.226,327.148,241.941,1.148,0,0.633
8.091,4.085e4,1239.219,51.808,0.226,327.428,241.924,1.144,0,0.633
8.141,4.082e4,1216.08,51.801,0.226,327.229,241.907,1.139,0,0.634
8.191,4.08e4,1193.453,51.794,0.226,326.974,241.89,1.135,0,0.634
8.241,4.078e4,1171.327,51.787,0.226,327.093,241.874,1.131,0,0.634
8.291,4.076e4,1149.692,51.78,0.226,327.441,241.858,1.127,0,0.635
8.341,4.074e4,1128.535,51.773,0.226,327.179,241.842,1.123,0,0.635
8.391,4.072e4,1107.848,51.767,0.226,326.938,241.826,1.119,0,0.636
8.441,4.07e4,1087.619,51.76,0.226,327.097,241.811,1.115,0,0.636
8.491,4.068e4,1067.838,51.754,0.226,327.449,241.797,1.111,0,0.636
8.541,4.066e4,1048.494,51.748,0.226,327.028,241.782,1.107,0,0.637
8.591,4.064e4,1029.58,51.742,0.226,326.928,241.768,1.103,0,0.637
8.641,4.062e4,1011.085,51.736,0.226,327.137,241.754,1.099,0,0.638
8.691,4.06e4,992.998,51.731,0.226,327.403,241.741,1.095,0,0.638
8.741,4.058e4,975.313,51.725,0.226,326.992,241.728,1.091,0,0.638
8.791,4.057e4,958.019,51.72,0.226,326.905,241.715,1.087,0,0.638
8.841,4.055e4,941.109,51.714,0.226,326.974,241.702,1.083,0,0.638
8.891,4.053e4,924.573,51.709,0.226,327.202,241.69,1.079,0,0.638
8.941,4.052e4,908.403,51.704,0.225,327.091,241.678,1.076,0,0.639
8.991,4.05e4,892.592,51.699,0.225,326.914,241.666,1.072,0,0.639
9.041,4.049e4,877.131,51.694,0.225,326.813,241.654,1.068,0,0.639
9.091,4.047e4,862.012,51.689,0.225,326.831,241.643,1.064,0,0.639
9.141,4.046e4,847.228,51.685,0.225,327.063,241.632,1.061,0,0.639
9.191,4.044e4,832.772,51.68,0.225,326.869,241.621,1.057,0,0.639
9.241,4.043e4,818.636,51.676,0.225,326.644,241.61,1.053,0,0.64
9.291,4.041e4,804.813,51.671,0.225,326.615,241.6,1.049,0,0.64
9.341,4.04e4,791.296,51.667,0.225,326.837,241.589,1.046,0,0.639
9.391,4.039e4,778.078,51.663,0.225,326.653,241.58,1.042,0,0.638
9.441,4.037e4,765.154,51.659,0.225,326.358,241.57,1.038,0,0.637
9.491,4.036e4,752.516,51.655,0.225,326.5,241.56,1.035,0,0.636
9.541,4.035e4,740.157,51.651,0.225,326.636,241.551,1.031,0,0.635
9.591,4.034e4,728.073,51.647,0.225,326.326,241.542,1.028,0,0.635
9.641,4.032e4,716.256,51.644,0.225,326.139,241.533,1.024,0,0.634
9.691,4.031e4,704.7,51.64,0.225,326.208,241.524,1.021,0,0.633
9.741,4.03e4,693.401,51.636,0.225,326.33,241.515,1.017,0,0.632
9.791,4.029e4,682.352,51.633,0.225,326.233,241.507,1.014,0,0.631
9.841,4.028e4,671.548,51.629,0.225,325.758,241.499,1.01,0,0.631
9.891,4.027e4,660.983,51.626,0.225,325.629,241.491,1.007,0,0.63
9.941,4.026e4,650.652,51.623,0.225,326.133,241.483,1.003,0,0.629
9.991,4.025e4,640.551,51.62,0.225,325.972,241.475,1,0,0.628
10.041,4.024e4,630.672,51.617,0.225,325.607,241.468,0.997,0,0.628
10.091,4.023e4,621.013,51.613,0.225,325.437,241.46,0.993,0,0.628
10.141,4.022e4,611.567,51.61,0.225,325.521,241.453,0.99,0,0.628
10.191,4.021e4,602.331,51.608,0.225,325.893,241.446,0.987,0,0.628
10.241,4.02e4,593.299,51.605,0.225,325.391,241.439,0.983,0,0.628
10.291,4.019e4,584.468,51.602,0.225,324.987,241.433,0.98,0,0.628
10.341,4.018e4,575.831,51.599,0.225,325.081,241.426,0.977,0,0.628
10.391,4.018e4,567.387,51.596,0.225,325.391,241.42,0.973,0,0.628
10.441,4.017e4,559.13,51.594,0.225,325.388,241.413,0.97,0,0.628
10.491,4.016e4,551.055,51.591,0.225,325.005,241.407,0.967,0,0.628
10.541,4.015e4,543.159,51.589,0.225,324.875,241.401,0.963,0,0.628
10.591,4.014e4,535.438,51.586,0.225,324.848,241.395,0.96,0,0.628
10.641,4.014e4,527.888,51.584,0.225,324.931,241.389,0.957,0,0.628
10.691,4.013e4,520.505,51.582,0.225,325.19,241.384,0.954,0,0.628
10.741,4.012e4,513.286,51.579,0.224,324.789,241.378,0.951,0,0.628
10.791,4.011e4,506.227,51.577,0.224,324.341,241.373,0.948,0,0.628
10.841,4.011e4,499.324,51.575,0.224,324.153,241.368,0.944,0,0.628
10.891,4.01e4,492.574,51.573,0.224,324.456,241.362,0.941,0,0.629
10.941,4.009e4,485.974,51.571,0.224,324.831,241.357,0.938,0,0.629
10.991,4.009e4,479.52,51.569,0.224,324.108,241.352,0.935,0,0.629
11.041,4.008e4,473.208,51.567,0.224,323.939,241.348,0.932,0,0.629
11.091,4.008e4,467.037,51.565,0.224,324.052,241.343,0.929,0,0.629
11.141,4.007e4,461.002,51.563,0.224,324.582,241.338,0.926,0,0.63
11.191,4.006e4,455.101,51.561,0.224,324.465,241.334,0.923,0,0.63
11.241,4.006e4,449.331,51.559,0.224,324.062,241.329,0.92,0,0.63
11.291,4.005e4,443.688,51.557,0.224,323.978,241.325,0.917,0,0.63
11.341,4.005e4,438.17,51.556,0.224,323.916,241.321,0.914,0,0.631
11.391,4.004e4,432.776,51.554,0.224,324.026,241.317,0.911,0,0.631
11.441,4.004e4,427.5,51.552,0.224,324.262,241.313,0.908,0,0.631
11.491,4.003e4,422.34,51.551,0.224,323.819,241.309,0.905,0,0.631
11.541,4.003e4,417.296,51.549,0.224,323.538,241.305,0.902,0,0.631
11.591,4.002e4,412.363,51.547,0.224,323.42,241.301,0.899,0,0.63
11.641,4.002e4,407.539,51.546,0.224,323.579,241.297,0.896,0,0.627
11.691,4.001e4,402.823,51.544,0.224,323.907,241.294,0.893,0,0.624
11.741,4.001e4,398.21,51.543,0.224,323.565,241.29,0.89,0,0.621
11.791,4e4,393.7,51.541,0.224,323.093,241.287,0.887,0,0.618
11.841,4e4,389.29,51.54,0.224,322.898,241.283,0.884,0,0.615
11.891,3.999e4,384.977,51.539,0.224,322.904,241.28,0.881,0,0.613
11.941,3.999e4,380.76,51.537,0.224,323.185,241.277,0.879,0,0.61
11.991,3.999e4,376.636,51.536,0.224,323.586,241.273,0.876,0,0.607
12.041,3.998e4,372.604,51.535,0.224,322.992,241.27,0.873,0,0.605
12.091,3.998e4,368.662,51.534,0.224,322.497,241.267,0.87,0,0.603
12.141,3.997e4,364.806,51.532,0.224,322.443,241.264,0.867,0,0.6
12.191,3.997e4,361.035,51.531,0.224,322.66,241.261,0.865,0,0.598
12.241,3.997e4,357.349,51.53,0.224,323,241.259,0.862,0,0.596
12.291,3.996e4,353.743,51.529,0.224,323.349,241.256,0.859,0,0.594
12.341,3.996e4,350.218,51.528,0.224,322.842,241.253,0.857,0,0.592
12.391,3.996e4,346.771,51.527,0.224,322.436,241.25,0.854,0,0.59
12.441,3.995e4,343.401,51.526,0.224,322.337,241.248,0.851,0,0.589
12.491,3.995e4,340.105,51.524,0.224,322.184,241.245,0.849,0,0.587
12.541,3.995e4,336.881,51.523,0.224,322.441,241.243,0.846,0,0.585
12.591,3.994e4,333.73,51.522,0.224,322.903,241.24,0.843,0,0.583
12.641,3.994e4,330.648,51.521,0.224,322.703,241.238,0.841,0,0.581
12.691,3.994e4,327.634,51.521,0.224,322.19,241.236,0.838,0,0.58
12.741,3.993e4,324.688,51.52,0.224,321.766,241.233,0.836,0,0.578
12.791,3.993e4,321.806,51.519,0.224,321.688,241.231,0.833,0,0.577
12.841,3.993e4,318.988,51.518,0.224,321.884,241.229,0.831,0,0.575
12.891,3.992e4,316.233,51.517,0.224,322.41,241.227,0.828,0,0.574
12.941,3.992e4,313.538,51.516,0.224,322.386,241.225,0.825,0,0.572
12.991,3.992e4,310.904,51.515,0.224,321.748,241.223,0.823,0,0.571
13.041,3.992e4,308.328,51.514,0.224,321.24,241.221,0.82,0,0.569
13.091,3.991e4,305.809,51.514,0.224,321.164,241.219,0.818,0,0.568
13.141,3.991e4,303.345,51.513,0.224,321.438,241.217,0.815,0,0.567
13.191,3.991e4,300.936,51.512,0.224,321.714,241.215,0.813,0,0.565
13.241,3.991e4,298.581,51.511,0.224,322.366,241.213,0.81,0,0.564
13.291,3.99e4,296.278,51.511,0.224,321.456,241.211,0.808,0,0.563
13.341,3.99e4,294.025,51.51,0.224,320.738,241.21,0.805,0,0.561
13.391,3.99e4,291.823,51.509,0.224,320.383,241.208,0.803,0,0.56
13.441,3.99e4,289.669,51.508,0.224,320.589,241.206,0.8,0,0.559
13.491,3.99e4,287.564,51.508,0.224,321.249,241.205,0.798,0,0.558
13.541,3.989e4,285.504,51.507,0.224,322,241.203,0.795,0,0.556
13.591,3.989e4,283.491,51.506,0.224,321.114,241.201,0.793,0,0.555
13.641,3.989e4,281.522,51.506,0.224,320.451,241.2,0.791,0,0.554
13.691,3.989e4,279.596,51.505,0.224,320.304,241.198,0.788,0,0.553
13.741,3.989e4,277.714,51.505,0.224,320.535,241.197,0.786,0,0.552
13.791,3.988e4,275.873,51.504,0.224,321.022,241.196,0.783,0,0.551
13.841,3.988e4,274.072,51.504,0.224,321.757,241.194,0.781,0,0.55
13.891,3.988e4,272.312,51.503,0.224,321.397,241.193,0.779,0,0.549
13.941,3.988e4,270.591,51.502,0.224,320.536,241.192,0.777,0,0.548
13.991,3.988e4,268.907,51.502,0.224,319.974,241.19,0.774,0,0.547
14.041,3.988e4,267.261,51.501,0.224,319.893,241.189,0.772,0,0.546
14.091,3.987e4,265.652,51.501,0.224,320.476,241.188,0.77,0,0.545
14.141,3.987e4,264.078,51.5,0.224,321.068,241.186,0.767,0,0.544
14.191,3.987e4,262.539,51.5,0.224,321.41,241.185,0.765,0,0.543
14.241,3.987e4,261.034,51.499,0.224,320.584,241.184,0.763,0,0.542
14.291,3.987e4,259.562,51.499,0.224,320.017,241.183,0.76,0,0.541
14.341,3.987e4,258.123,51.498,0.224,320.011,241.182,0.758,0,0.54
14.391,3.987e4,256.716,51.498,0.224,320.076,241.181,0.756,0,0.539
14.441,3.986e4,255.34,51.498,0.224,320.381,241.18,0.754,0,0.538
14.491,3.986e4,253.995,51.497,0.224,320.614,241.179,0.751,0,0.538
14.541,3.986e4,252.679,51.497,0.224,321.183,241.178,0.749,0,0.537
14.591,3.986e4,251.393,51.496,0.224,321.06,241.177,0.747,0,0.536
