# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),MaxQ (mbar)
83.994,433.918,-16.976,58.629,16.976,58.629,419.831,0.428,419.832,0.058,0.095,0.018,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.051,2.882e6,0,1792.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.5,898.749,336.45,0.002,0.45,NaN
83.996,433.882,-16.853,57.653,16.853,57.653,419.831,0.428,419.832,0.058,0.095,0.017,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.05,2.861e6,0,1766.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.5,898.753,336.45,0.002,0.45,NaN
83.998,433.845,-16.729,56.677,16.729,56.677,419.831,0.428,419.831,0.058,0.095,0.017,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.05,2.84e6,0,1741.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.501,898.757,336.45,0.002,0.45,NaN
84.001,433.808,-16.604,55.701,16.604,55.701,419.831,0.428,419.831,0.058,0.095,0.017,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.05,2.819e6,0,1715.662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.501,898.761,336.45,0.002,0.45,NaN
84.003,433.769,-16.478,54.725,16.478,54.725,419.831,0.428,419.831,0.058,0.095,0.016,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.049,2.797e6,0,1690.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.501,898.766,336.451,0.002,0.45,NaN
84.005,433.731,-16.351,53.75,16.351,53.75,419.83,0.428,419.831,0.058,0.095,0.016,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.049,2.776e6,0,1664.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.501,898.77,336.451,0.002,0.45,NaN
84.008,433.691,-16.223,52.775,16.223,52.775,419.83,0.428,419.83,0.058,0.095,0.016,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.049,2.754e6,0,1639.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.502,898.774,336.451,0.002,0.451,NaN
84.01,433.651,-16.094,51.801,16.094,51.801,419.83,0.428,419.83,0.058,0.095,0.016,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.048,2.732e6,0,1613.514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.502,898.779,336.451,0.002,0.451,NaN
84.013,433.61,-15.964,50.827,15.964,50.827,419.83,0.428,419.83,0.058,0.095,0.015,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.048,2.71e6,0,1588.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.502,898.783,336.451,0.003,0.451,NaN
84.015,433.568,-15.834,49.854,15.834,49.854,419.829,0.428,419.83,0.058,0.095,0.015,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.047,2.688e6,0,1562.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.502,898.788,336.451,0.003,0.451,NaN
84.018,433.526,-15.702,48.881,15.702,48.881,419.829,0.428,419.829,0.058,0.096,0.015,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.047,2.666e6,0,1537.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.503,898.792,336.452,0.003,0.451,NaN
84.021,433.483,-15.569,47.909,15.569,47.909,419.829,0.428,419.829,0.058,0.096,0.015,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.047,2.643e6,0,1511.551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.503,898.797,336.452,0.003,0.452,NaN
84.024,433.438,-15.435,46.937,15.435,46.937,419.829,0.428,419.829,0.058,0.096,0.014,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.046,2.621e6,0,1486.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.503,898.802,336.452,0.003,0.452,NaN
84.027,433.393,-15.3,45.965,15.3,45.965,419.828,0.428,419.829,0.058,0.096,0.014,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.046,2.598e6,0,1460.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.504,898.807,336.452,0.003,0.452,NaN
84.03,433.347,-15.164,44.995,15.164,44.995,419.828,0.428,419.828,0.058,0.096,0.014,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.045,2.575e6,0,1435.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.504,898.812,336.452,0.003,0.453,NaN
84.033,433.3,-15.027,44.024,15.027,44.024,419.828,0.428,419.828,0.058,0.096,0.013,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.045,2.551e6,0,1409.802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.504,898.817,336.452,0.003,0.453,NaN
84.036,433.252,-14.888,43.055,14.888,43.055,419.827,0.428,419.828,0.058,0.096,0.013,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.045,2.528e6,0,1384.402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.504,898.822,336.453,0.003,0.453,NaN
84.039,433.203,-14.749,42.086,14.749,42.086,419.827,0.428,419.827,0.058,0.096,0.013,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.044,2.504e6,0,1359.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.505,898.828,336.453,0.003,0.453,NaN
84.043,433.153,-14.608,41.117,14.608,41.117,419.827,0.428,419.827,0.058,0.096,0.013,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.044,2.48e6,0,1333.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.505,898.833,336.453,0.003,0.453,NaN
84.046,433.101,-14.466,40.15,14.466,40.15,419.826,0.428,419.827,0.058,0.096,0.012,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.043,2.456e6,0,1308.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.505,898.839,336.453,0.004,0.454,NaN
84.05,433.048,-14.322,39.182,14.322,39.182,419.826,0.428,419.826,0.058,0.096,0.012,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.043,2.432e6,0,1282.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.506,898.845,336.453,0.004,0.454,NaN
84.054,432.994,-14.177,38.216,14.177,38.216,419.826,0.428,419.826,0.058,0.096,0.012,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.043,2.407e6,0,1257.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.506,898.85,336.454,0.004,0.454,NaN
84.058,432.939,-14.031,37.251,14.031,37.251,419.825,0.428,419.826,0.058,0.096,0.012,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.042,2.382e6,0,1232.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.506,898.857,336.454,0.004,0.454,NaN
84.062,432.882,-13.884,36.286,13.884,36.286,419.825,0.428,419.825,0.058,0.096,0.011,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.042,2.357e6,0,1207.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.507,898.863,336.454,0.004,0.454,NaN
84.066,432.824,-13.735,35.322,13.735,35.322,419.825,0.428,419.825,0.058,0.096,0.011,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.041,2.332e6,0,1181.838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.507,898.869,336.454,0.004,0.455,NaN
84.07,432.764,-13.584,34.359,13.584,34.359,419.824,0.428,419.824,0.058,0.096,0.011,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.041,2.306e6,0,1156.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.508,898.876,336.454,0.004,0.455,NaN
84.075,432.703,-13.432,33.397,13.432,33.397,419.824,0.428,419.824,0.058,0.096,0.011,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.04,2.281e6,0,1131.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.508,898.882,336.455,0.005,0.455,NaN
84.08,432.639,-13.278,32.435,13.278,32.435,419.823,0.428,419.824,0.058,0.096,0.01,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.04,2.255e6,0,1106.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.508,898.889,336.455,0.005,0.455,NaN
84.085,432.574,-13.123,31.475,13.123,31.475,419.823,0.428,419.823,0.058,0.096,0.01,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.039,2.228e6,0,1081.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.509,898.896,336.455,0.005,0.455,NaN
84.09,432.507,-12.966,30.516,12.966,30.516,419.822,0.428,419.823,0.058,0.096,0.01,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.039,2.202e6,0,1055.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.509,898.903,336.455,0.005,0.456,NaN
84.095,432.438,-12.808,29.558,12.808,29.558,419.822,0.428,419.822,0.058,0.096,0.009,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.039,2.175e6,0,1030.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.51,898.911,336.456,0.005,0.456,NaN
84.101,432.367,-12.647,28.601,12.647,28.601,419.821,0.428,419.821,0.058,0.096,0.009,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.038,2.147e6,0,1005.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,0.1,8.51,898.919,336.456,0.006,0.456,NaN
84.107,432.293,-12.485,27.645,12.485,27.645,419.821,0.428,419.821,0.058,0.097,0.009,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.038,2.12e6,0,980.751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.511,898.927,336.456,0.006,0.456,NaN
84.113,432.217,-12.321,26.691,12.321,26.691,419.82,0.428,419.82,0.058,0.097,0.009,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.037,2.092e6,0,955.752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.511,898.935,336.457,0.006,0.456,NaN
84.119,432.138,-12.155,25.738,12.155,25.738,419.819,0.428,419.82,0.058,0.097,0.008,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.037,2.064e6,0,930.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.512,898.943,336.457,0.006,0.456,NaN
84.126,432.056,-11.986,24.787,11.986,24.787,419.819,0.428,419.819,0.058,0.097,0.008,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.036,2.035e6,0,905.866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.512,898.952,336.457,0.007,0.456,NaN
84.133,431.971,-11.816,23.837,11.816,23.837,419.818,0.428,419.818,0.058,0.097,0.008,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.036,2.006e6,0,880.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.513,898.961,336.458,0.007,0.456,NaN
84.141,431.882,-11.644,22.888,11.644,22.888,419.817,0.428,419.818,0.058,0.097,0.008,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.035,1.977e6,0,856.146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.513,898.971,336.458,0.008,0.456,NaN
84.149,431.79,-11.469,21.942,11.469,21.942,419.817,0.428,419.817,0.058,0.097,0.007,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.035,1.947e6,0,831.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.514,898.981,336.458,0.008,0.456,NaN
84.157,431.695,-11.292,20.998,11.292,20.998,419.816,0.428,419.816,0.058,0.097,0.007,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.034,1.917e6,0,806.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.514,898.991,336.459,0.008,0.457,NaN
84.166,431.594,-11.113,20.055,11.113,20.055,419.815,0.428,419.815,0.058,0.097,0.007,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.034,1.887e6,0,781.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.515,899.002,336.459,0.009,0.457,NaN
84.175,431.49,-10.931,19.115,10.931,19.115,419.814,0.428,419.814,0.058,0.097,0.007,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.033,1.856e6,0,757.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.516,899.013,336.459,0.01,0.457,NaN
84.186,431.38,-10.747,18.177,10.747,18.177,419.813,0.428,419.813,0.058,0.097,0.006,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.032,1.825e6,0,732.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.516,899.025,336.46,0.01,0.457,NaN
84.196,431.264,-10.56,17.242,10.56,17.242,419.812,0.428,419.812,0.058,0.097,0.006,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.032,1.793e6,0,708.239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.517,899.037,336.46,0.011,0.457,NaN
84.208,431.142,-10.37,16.31,10.37,16.31,419.811,0.428,419.811,0.058,0.097,0.006,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.031,1.761e6,0,683.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.518,899.05,336.461,0.012,0.457,NaN
84.221,431.014,-10.178,15.381,10.178,15.381,419.81,0.428,419.81,0.058,0.097,0.005,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.031,1.728e6,0,659.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.518,899.063,336.461,0.013,0.457,NaN
84.234,430.878,-9.982,14.455,9.982,14.455,419.808,0.428,419.809,0.058,0.097,0.005,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.03,1.695e6,0,635.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.519,899.078,336.462,0.014,0.457,NaN
84.249,430.733,-9.784,13.533,9.784,13.533,419.807,0.428,419.807,0.058,0.097,0.005,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.03,1.661e6,0,611.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.52,899.093,336.462,0.015,0.457,NaN
84.265,430.578,-9.582,12.615,9.582,12.615,419.805,0.428,419.806,0.058,0.098,0.005,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.029,1.627e6,0,587.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.521,899.109,336.463,0.016,0.458,NaN
84.282,430.412,-9.378,11.701,9.378,11.701,419.804,0.428,419.804,0.058,0.098,0.004,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.028,1.592e6,0,563.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.522,899.126,336.463,0.017,0.458,NaN
84.302,430.234,-9.17,10.793,9.17,10.793,419.802,0.428,419.802,0.058,0.098,0.004,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.028,1.557e6,0,539.313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.523,899.145,336.464,0.019,0.458,NaN
84.323,430.04,-8.959,9.891,8.959,9.891,419.8,0.428,419.8,0.058,0.098,0.004,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.027,1.521e6,0,515.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.524,899.165,336.465,0.021,0.458,NaN
84.347,429.829,-8.744,8.995,8.744,8.995,419.797,0.428,419.798,0.058,0.098,0.004,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.027,1.485e6,0,492.214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.526,899.187,336.465,0.024,0.458,NaN
84.374,429.597,-8.527,8.107,8.527,8.107,419.795,0.428,419.795,0.058,0.098,0.003,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.026,1.448e6,0,468.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.527,899.21,336.466,0.027,0.458,NaN
84.404,429.341,-8.306,7.228,8.306,7.228,419.792,0.428,419.792,0.058,0.098,0.003,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.025,1.411e6,0,445.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,0.1,8.529,899.236,336.467,0.031,0.458,NaN
84.439,429.053,-8.083,6.359,8.083,6.359,419.788,0.428,419.788,0.058,0.098,0.003,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.025,1.373e6,0,423.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.801e-4,NaN,NaN,NaN,NaN,0.1,8.53,899.265,336.468,0.035,0.458,NaN
84.48,428.726,-7.857,5.502,7.857,5.502,419.784,0.428,419.784,0.058,0.098,0.003,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.024,1.334e6,0,400.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.538e-4,NaN,NaN,NaN,NaN,0.1,8.532,899.297,336.469,0.041,0.458,NaN
84.529,428.349,-7.63,4.661,7.63,4.661,419.779,0.428,419.78,0.058,0.098,0.002,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.023,1.296e6,0,378.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.272e-4,NaN,NaN,NaN,NaN,0.1,8.534,899.333,336.471,0.049,0.459,NaN
84.588,427.904,-7.403,3.838,7.403,3.838,419.774,0.427,419.774,0.058,0.098,0.002,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.023,1.257e6,0,357.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.004e-4,NaN,NaN,NaN,NaN,0.1,8.537,899.376,336.472,0.059,0.459,NaN
84.662,427.364,-7.178,3.039,7.178,3.039,419.766,0.427,419.767,0.058,0.099,0.002,36,-85.995,9.795,NaN,NaN,NaN,NaN,2.62e4,2835,NaN,NaN,NaN,NaN,NaN,0.022,1.219e6,0,336.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.736e-4,NaN,NaN,NaN,NaN,0.1,8.54,899.425,336.474,0.074,0.459,NaN
